koi_period,koi_depth,koi_duration,koi_ror,koi_teq,koi_insol,label
9.48803557,615.8,2.9575,0.022344,793.0,93.59,1
54.4183827,874.8,4.507,0.027954,443.0,9.11,1
1.736952453,8079.2,2.40641,0.387394,1395.0,891.96,0
2.525591777,603.3,1.6545,0.024064,1406.0,926.16,1
11.09432054,1517.5,4.5945,0.036779,835.0,114.81,1
4.13443512,686.0,3.1402,0.026133,1160.0,427.65,1
2.56658897,226.5,2.429,0.014983,1360.0,807.74,1
7.36178958,233.7,5.022,0.183387,1342.0,767.22,0
16.06864674,4914.3,3.5347,0.062161,600.0,30.75,1
2.470613377,14231.0,1.74319,0.123871,1339.0,761.46,1
2.204735417,6674.7,3.88864,0.075522,2048.0,4148.92,1
3.522498429,9145.7,3.19843,0.092086,1521.0,1264.67,1
3.709214104,131.1,2.6302,0.010424,1206.0,500.46,1
11.521446064,17984.0,3.6399,1.625358,753.0,75.88,0
19.40393776,8918.7,12.2155,0.096729,523.0,17.69,0
19.221388942,74284.0,4.79843,0.476633,698.0,55.97,0
16.46983774,10479.0,9.4378,0.092509,595.0,29.61,0
9.27358173,1288.3,3.2875,0.032563,649.0,41.85,1
6.02930329,1912.7,1.5821,0.038838,678.0,50.04,1
2.696370652,397.9,3.6129,0.017673,1066.0,305.34,0
5.349553819,831.0,3.0278,0.025706,919.0,168.99,1
3.94105221,363.3,2.5984,0.017105,1018.0,253.15,1
8.10904807,217.4,3.596,0.013127,800.0,97.03,1
386.6030528,24927.0,6.8057,0.240528,297.0,1.84,0
21.67699193,857.2,3.4555,0.032666,530.0,18.64,1
4.99677968,934.7,2.1717,0.030014,917.0,166.95,1
4.280963604,750.8,2.875,0.025377,1012.0,247.87,1
1.50635409,2211.7,1.5155,0.049899,1452.0,1054.12,0
670.645531,18091.0,53.412,0.131705,196.0,0.35,0
61.2563628,5123.3,7.633,0.334628,505.0,15.43,0
38.3775486,724.2,5.588,0.024901,529.0,18.53,1
41.19725502,2213.9,4.6297,0.041693,439.0,8.76,1
6.252962249,1036.9,2.5819,0.028604,823.0,108.3,1
16.01308419,1121.9,3.2554,0.034369,593.0,29.31,1
32.62876672,1804.8,4.7971,0.03852,506.0,15.55,1
91.7732862,652.0,6.473,0.02432,359.0,3.92,1
4.959319244,9802.0,2.22739,0.103379,1103.0,349.4,1
2.701287801,860.4,3.3827,0.06584,1222.0,527.81,0
4.49876511,460.0,3.7362,0.019817,1133.0,389.62,1
19.651209505,11766.0,5.2514,0.106953,730.0,67.03,0
5.412203927,601.6,2.9472,0.024775,1093.0,337.68,1
41.43958662,2793.1,10.5989,0.048175,516.0,16.72,1
8.35389523,1041.6,2.2514,0.029305,790.0,91.9,1
4.125543472,1487.3,3.1744,0.036796,1243.0,565.35,1
2.816504904,16814.0,2.50587,0.117059,1219.0,521.13,1
33.93373447,8503.7,14.561,0.095386,430.0,8.11,0
3.689920099,426.7,2.6557,0.018878,1147.0,408.99,1
4.431238488,1010.9,3.15,0.02933,1104.0,351.23,1
11.37936986,1023.5,2.6255,0.035628,806.0,99.68,1
26.39432897,1510.9,3.573,0.03681,489.0,13.49,1
13.57078281,511.7,3.3539,0.023908,785.0,89.61,1
7.12594387,192.4,3.0014,0.01512,997.0,233.31,1
7.442652004,24446.0,2.3078,0.143936,967.0,206.78,0
16.38489988,1127.1,3.0249,0.029758,433.0,8.35,1
7.8774163,1306.1,2.0805,0.03209,553.0,22.18,1
36.4454001,1122.3,4.007,0.029681,332.0,2.88,1
3.728732147,5226.5,2.683,0.068178,1023.0,258.34,1
2.243380573,821.7,1.1196,0.032248,822.0,107.6,1
10.405998015,14489.0,6.5036,0.111248,833.0,113.94,0
2.337437946,971.2,1.9982,0.027998,1070.0,311.16,1
11.59822233,2804.5,2.5237,0.051287,396.0,5.82,1
6.575315881,2793.3,4.3084,0.049152,1015.0,251.38,1
7.275040844,3001.0,7.5377,0.051358,833.0,113.64,1
19.27153892,1219.8,2.7594,0.031585,393.0,5.66,1
10.06524317,1053.3,1.369,0.031153,488.0,13.43,1
12.3935651,916.6,3.8896,0.032536,677.0,49.68,1
43.84439721,615.2,6.802,0.025934,531.0,18.77,1
3.341913228,725.3,3.813,0.243351,1032.0,268.67,0
1.626630225,1620.6,2.1145,0.305244,1547.0,1355.88,0
2.711504086,837.5,3.0099,0.026533,1420.0,960.79,1
7.21203748,950.4,4.0491,0.028255,1025.0,260.58,1
14.1798187,459.9,2.505,0.019561,711.0,60.35,0
8.47237911,1123.5,2.7245,0.030119,751.0,75.44,1
60.4189369,931.3,5.039,0.027422,390.0,5.49,1
12.611904345,6105.6,5.1497,0.073758,753.0,76.15,1
1.433769925,1976.3,1.8868,0.318591,1920.0,3209.29,0
10.31872301,871.7,3.836,0.247006,876.0,139.26,0
2.539183147,382.1,2.4282,0.017724,1332.0,743.09,1
6.770300385,1304.0,2.0844,0.037414,812.0,102.87,1
0.444291966,10967.0,2.0792,0.396105,1836.0,2706.26,0
20.06036336,1494.7,3.3203,0.036455,361.0,4.0,1
46.1842039,1394.7,4.758,0.033974,273.0,1.32,1
23.9800854,104.0,5.351,0.011879,649.0,41.94,1
7.82502168,520.8,2.186,0.022312,494.0,14.05,1
3.895936525,8544.8,2.3111,0.08689,1005.0,241.62,1
22.36646466,986.8,5.228,0.028938,536.0,19.45,1
1.625522174,7969.0,2.38963,0.080543,1579.0,1467.41,1
7.544039,322.6,6.222,0.194187,838.0,116.46,0
9.02930689,1019.8,3.1449,0.028718,757.0,77.75,1
10.328035714,16918.0,7.7915,0.118805,843.0,119.31,0
143.2063047,10566.0,8.9302,0.094044,308.0,2.14,1
6.164876,55.8,3.262,0.007192,1021.0,256.35,1
60.32494216,20280.0,6.6188,0.128744,411.0,6.77,1
29.1598615,488.0,4.803,0.02018,524.0,17.85,1
1.540397253,816.1,2.1541,0.257087,1470.0,1105.68,0
2.99025443,589.2,5.414,0.021279,918.0,168.45,0
1.594745374,15044.0,1.9604,0.115879,1539.0,1329.42,1
4.783002698,1008.7,2.335,0.028315,886.0,145.48,1
20.50588921,2105.5,4.0595,0.041039,518.0,17.06,1
3.340218842,1632.6,1.9104,0.037683,656.0,43.73,1
2.507089906,1339.2,2.0067,0.295115,1326.0,730.47,0
18.64932728,893.6,4.4056,0.027096,701.0,57.13,1
